Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
lance.armstr0ng,Drugs/RCs,10x40mg Ethylphenidate Caps - Ritalin Analogue 99% purity,> Ethylphenidate (EP) is a psychostimulant and a close analog of methylphenidate. The two drugs have very similar pharmacological effects.  Doping for your brain! Study like never before with my f ...,0.07799123147058823 BTC,Germany,,5.00/5,
Someguy9191,Drugs/RCs,Ethylphenidate - 1G - 98% Pure,This listing is for 98% Pure Ethylphenidate.   This product comes in a white rocky powder.    For more info view this: http://en.wikipedia.org/wiki/Ethylphenidate   ***This Product Will Be On ...,0.04675452344827586 BTC,USA,USA,4.79/5,
lance.armstr0ng,Drugs/RCs,10x20mg Ethylphenidate Caps - Ritalin Analogue - 99% purity,> Ethylphenidate (EP) is a psychostimulant and a close analog of methylphenidate. The two drugs have very similar pharmacological effects.  Doping for your brain! Study like never before with my f ...,0.03982846038461539 BTC,Germany,,5.00/5,
Althea,Drugs/RCs,10g - 5-Meo-MIPT,This listing is for 10 grams of 5-Meo-MIPT direct from the lab in china.  Quality is top notch. Shipping takes 1 to 3 weeks depending where you live.  FE required. Free Shipping and tracking number ...,0.6711630908108106 BTC,China,,~5/5,
rc4me,Drugs/RCs,a-PBP - 1000g,IUPAC : (RS)-1-phenyl-2-(1-pyrrolidinyl)-1-butanone  Pure a-PBP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  W ...,8.663863101666662 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,MDPPP - 1000g,IUPAC : (RS)-1-(3 4-methylenedioxyphenyl)-2-(1-pyrrolidinyl)-1-propanone  Pure MDPPP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signat ...,9.390279544112904 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,a-PVT - 250g,IUPAC : 2-(pyrrolidin-1-yl)-1-(thiophen-2-yl)pentan-1-one  Pure a-PVT  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is require ...,4.135730775760003 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Ethylphenidate (Big Crystals) - 25g,IUPAC name :(RS)-ethyl 2-phenyl-2-piperidin-2-ylacetate  Pure Ethylphenidate (Big Crystals) Hydrochloride  from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing.  ...,1.337694220937501 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,a-PPP - 1000g,IUPAC : (RS)-1-Phenyl-2-(1-pyrrolidinyl)-1-propanone  Pure a-PPP  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,6.263675827777778 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,3 4-CTMP - 500g,IUPAC : Methyl (2R)-2-(3 4-dichlorophenyl)-2-[(2R)-piperidin-2-yl]acetate  Pure 3 4-CTMP   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is r ...,11.556874320645159 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Ethylphenidate (Big Crystals) - 50g,IUPAC name :(RS)-ethyl 2-phenyl-2-piperidin-2-ylacetate  Pure Ethylphenidate (Big Crystals) Hydrochloride  from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing.  ...,2.141567908031495 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Ethylone (bk-MDEA) - 1000g,IUPAC : (RS)-1-(1 3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one  Pure Ethylone   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  ...,13.247504629603183 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,A-PVP (powder) - 5g,IUPAC : (RS)-1-phenyl-2-(1-pyrrolidinyl)-1-pentanone  Pure A-PVP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,0.5819255805555551 BTC,China,,~5/5,
rc4me,Drugs/RCs,Ethylphenidate (Big Crystals) - 10g,IUPAC name :(RS)-ethyl 2-phenyl-2-piperidin-2-ylacetate  Pure Ethylphenidate (Big Crystals) Hydrochloride  from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing.  ...,0.8135860110317461 BTC,China,,~5/5,
rc4me,Drugs/RCs,Ethylphenidate (Big Crystals) - 500g,IUPAC name :(RS)-ethyl 2-phenyl-2-piperidin-2-ylacetate  Pure Ethylphenidate (Big Crystals) Hydrochloride  from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing.  ...,7.799779156959999 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,MPA - 1000g,IUPAC : 1-(thiophen-2-yl)-2-methylaminopropane  Pure MPA  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We need ...,13.190510628157892 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,3 4-CTMP - 100g,IUPAC : Methyl (2R)-2-(3 4-dichlorophenyl)-2-[(2R)-piperidin-2-yl]acetate  Pure 3 4-CTMP   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is r ...,3.608031689919355 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,a-PVT - 50g,IUPAC : 2-(pyrrolidin-1-yl)-1-(thiophen-2-yl)pentan-1-one  Pure a-PVT  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is require ...,1.9861639191338565 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,4-FMA - 100g,IUPAC name : (RS)-1-(4-fluorophenyl)-N-methylpropan-2-amine  Pure 4-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ...,3.383536971190477 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
RCS4YOU,Drugs/RCs,FLUX Compact Disc Cleaner 160mg 4-FMP(4-FA) 5x,"FLUX Compact Disc Cleaner 160mg 4-FMP(4-FA) 5x  Please research before use!  4-Fluoroamphetamine (4-FA; PAL-303; ""Flux"")  also known as para-fluoroamphetamine (PFA) is a psychoactive research che ...",0.10444082 BTC,Netherlands,,[0 deals],
rc4me,Drugs/RCs,a-PPP - 50g,IUPAC : (RS)-1-Phenyl-2-(1-pyrrolidinyl)-1-propanone  Pure a-PPP  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,1.2634371744444446 BTC,China,,~5/5,
rc4me,Drugs/RCs,A-PVP (Big Crystals) - 10g,IUPAC : (RS)-1-phenyl-2-(1-pyrrolidinyl)-1-pentanone  Pure A-PVP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,0.8219797741463415 BTC,China,,~5/5,
rc4me,Drugs/RCs,Butylone (bk-MBDB) - 1000g,IUPAC : 1-(1 3-benzodioxol-5-yl)-2-(methylamino)butan-1-one  Pure bk-MBDB Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requ ...,9.343950438455284 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,4-FA - 1000g,IUPAC name : (RS)-1-(4-Fluorophenyl)propan-2-amine  Pure 4FA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We n ...,12.229259195826765 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Butylone (bk-MBDB) - 250g,IUPAC : 1-(1 3-benzodioxol-5-yl)-2-(methylamino)butan-1-one  Pure bk-MBDB Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requ ...,3.964980930400002 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Ethylone (bk-MDEA) - 100g,IUPAC : (RS)-1-(1 3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one  Pure Ethylone   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  ...,3.2493459911904763 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,4-FMA - 250g,IUPAC name : (RS)-1-(4-fluorophenyl)-N-methylpropan-2-amine  Pure 4-FMA Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is requir ...,5.370300178031493 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Ethylone (bk-MDEA) - 5g,IUPAC : (RS)-1-(1 3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one  Pure Ethylone   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  ...,0.6261470857936507 BTC,China,,~5/5,
rc4me,Drugs/RCs,Ethylone (bk-MDEA) - 25g,IUPAC : (RS)-1-(1 3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one  Pure Ethylone   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  ...,1.258479295950413 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,Pentedrone ( Big Crystals) - 250g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,3.989925928387098 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,A-PVP (Big Crystals) - 500g,IUPAC : (RS)-1-phenyl-2-(1-pyrrolidinyl)-1-pentanone  Pure A-PVP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,5.955651955999998 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
rc4me,Drugs/RCs,a-PBP - 10g,IUPAC : (RS)-1-phenyl-2-(1-pyrrolidinyl)-1-butanone  Pure a-PBP Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  W ...,0.754884808934426 BTC,China,,~5/5,
rc4me,Drugs/RCs,3 4-CTMP - 250g,IUPAC : Methyl (2R)-2-(3 4-dichlorophenyl)-2-[(2R)-piperidin-2-yl]acetate  Pure 3 4-CTMP   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is r ...,6.647003660894314 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,100gr. Apvp Rock FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,2.104476716 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
ReconnoiterConscious,Drugs/RCs,200mg Sampler 4-BMC,4-BMC is a research chemical similar to the substituted cathinone 4-MEC.,0.018986174571428573 BTC,USA,,4.658/5,
SusnaSmith,Drugs/RCs,5 Grams Ethylphenidate,This listing is for 5 grams of Ethylphenidate.  It is in powder form.  This is a Ritalin analog.  Most people report that is stronger but shorter duration than Ritalin.,0.33018257171875015 BTC,USA,Worldwide,4.988/5,
FREE,Drugs/RCs,100gr. AH-7921 FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,2.8737293216666666 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
drzheng,Drugs/RCs,20g crystal DIMETHYLONE- FREE worldwide shipping,20g of pure small CRYSTAL DIMETHYLONE (bk-mddma) shipped worldwide using discreet methods.  For more info please see our profile.  Please note:  Different batches may have different texture and ...,0.8111501775000004 BTC,World,,4.99/5,
rc4me,Drugs/RCs,3 4-CTMP - 25g,IUPAC : Methyl (2R)-2-(3 4-dichlorophenyl)-2-[(2R)-piperidin-2-yl]acetate  Pure 3 4-CTMP   from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is r ...,1.3409345853781522 BTC,China,,~5/5,
ChinaChem,Drugs/RCs,100g AB-FUBINACA,Product information AB-FUBINACA:  CAS number: 1185282-01-2  Formula: C20H21FN4O2  Purity(HPLC): 99.5%  Characteristics: White powder  For more information's about our reship policy  please  ...,1.3383817944444445 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
advancedgrowthlabs,Drugs/RCs,Aromasin ( Exemestane) 25mg/ml 30ml,For sale is a 30ml bottle of exemestane at 25mg/ml. Shake before use!  Comes with 1cc syringe for measuring.  This has standard RC taste  so don't expect it to taste delicious.,0.13235063896551721 BTC,USA,,4.994/5,
FREE,Drugs/RCs,500gr. MDPPP FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,5.284917642352942 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
Evangitis,Drugs/RCs,14g 2-FMA,14g 2-FMA; 2-Fluoromethamphetamine,0.890950569375 BTC,USA,USA,5.00/5,
EverythingOnIt,Drugs/RCs,1000g A-PVP 99% Pure Rock Crystals,1000g of A-PVP 99% Pure Rock Crystals  FE Free express shipping Or  Non-FE express shipping option is available  Tracking Number will be provided for either options  It takes 5-10 working day ...,7.435601148611111 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
NoQuarter,Drugs/RCs,3.5g 4-FA Pure Product,<><><><><><><><><><><><><><><><><><><><><><><><><><>  From the shore to your door. Bad Ass 4-FA.  For those unfamiliar and looking for an mdma/m1 alternative  give 4fa a try. A stimulant with som ...,0.16451999434782608 BTC,USA,USA,5.00/5,
Fappy,Drugs/RCs,Pentedrone 10g,Pentedrone (HCL)  Produces a clear headed stimulant effects and mild euphoria. Great for working or socializing!  The comedown is mild and relaxing  allowing for a good night sleep afterwards  no  ...,0.44847345151515144 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
FREE,Drugs/RCs,50gr. 6-APB  FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,2.166891768285714 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,10gr. 5-MAPBD  FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.2075970000000003 BTC,China,,5.00/5,
FREE,Drugs/RCs,200gr. 5-MAPBD  FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,6.109295891351352 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
ChinaChem,Drugs/RCs,Sample 4-FMC,CAS number: 7589-35-7 Formula: C10H13FClNO Purity(HPLC): 99.5% Characteristics: White crystalline powder  Flephedrone  also known as 4-fluoromethcathinone (4-FMC)  is a stimulant drug of the cat ...,0.08450613366972479 BTC,China,Worldwide,5.00/5,
geoffreygiraffe,Drugs/RCs,1 Gram α-PVP Powder,Hello there  Ladies and Gentlemen.  I’m Geoffrey Giraffe  and I am here to provide top quality products for reasonable prices.  I believe in honest representations of my products as well as chemical  ...,0.04627963333333334 BTC,USA Canada  W. Europe,USA  Canada  W. Europe,5.000/5,
Fappy,Drugs/RCs,MAL 250mg,250mg MAL (Methallylescaline) HCL  Pristine batch of MAL 99%+ pure  straight from the lab  For experienced users only  please do your own research and use diligently.  Oral Dose: 40–65 mg Dura ...,0.049559203600000004 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
rc4me,Drugs/RCs,Pentedrone (Big Crystals) - 500g,IUPAC : (±)-1-phenyl-2-(methylamino)pentan-1-one  Pure Pentedrone Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.   ...,6.155276357886178 BTC,China,,~5/5,Average price may be skewed outliar > .5 BTC found
FREE,Drugs/RCs,100gr.  4-EMC FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,1.9231391675000005 BTC,China,,5.00/5,Average price may be skewed outliar > .5 BTC found
Fappy,Drugs/RCs,100 x 4-AcO-DMT Capsules 20mg,100 x 4-AcO-DMT Capsules 20mg Fumarate  Excellent 4-AcO-DMT 99%+ pure  straight from the lab  For experienced users only  please do your own research and use diligently.  Duration: 6-8 hrs  O ...,1.3281916572222223 BTC,Canada USA  UK  EU,Canada  USA  UK  EU,4.96/5,
rc4me,Drugs/RCs,MPA - 10g,IUPAC : 1-(thiophen-2-yl)-2-methylaminopropane  Pure MPA  Hydrochloride from manufacture  1) EMS worldwide : + Shipping from China. + Tracking is providing. + Signature is required.  We need ...,0.8106854724347828 BTC,China,,~5/5,
FREE,Drugs/RCs,10gr.5-APB FREE SHIP WITH TRACK,This shipment is with tracking number. The shipment must be signed to receive it. In case that the track is stuck I offer 50% reship.,0.9604506261111116 BTC,China,,5.00/5,
ChinaChem,Drugs/RCs,sample a-php (PV7) (apvp related),“alpha-PHP is a stimulant similar in dosing and effects to MDPV and alpha-PVP  I had already a pleasure to try this a couple of times … I found it a bit stronger than alpha-PVP but with less side eff ...,0.06561539853658538 BTC,China,,5.00/5,
